,Bridge,Professional & Other Places,Furniture / Home Store,Residence,Place for Sports,Hotel,Vehicle-Related Place,Recycling Facility,Clothing & Jewelry,Neighborhood,Embassy / Consulate,Post Office,Vehicle Shop,Hardware Store,Religion & Spirituality,"History, Museum & Arts",Office,School,Smoke Shop,Indoor Entertainment,"Beauty, Cosmetology & Hairdressing",Electronics,Travel-Related Place,Rest Area,Government Building,General Education Place,Financial or Legal Service,Convention Center,Place for Socializing,Medical-Related Place,Alcoholic-Related Place,Transportation,Storage Facility,Paper / Office Supplies Store,Design Studio,Miscellaneous Shop,Shop Related to Entertainment,Newsstand,Bank,Funeral,Restaurant,"Store, Market & Fair",Pet-Related Place,Laundry Service,Outdoor Entertainment,Sporting Goods Shop,Factory,Food & Snack,Castle
10,0.0,0.0,0.0,12.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0
11,1.0,0.0,0.0,8.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0
12,1.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0
13,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
18,1.0,0.0,0.0,8.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
19,0.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0
20,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
21,0.0,0.0,0.0,3.0,8.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0
22,0.0,0.0,0.0,7.0,11.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0
23,1.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,9.0,0.0
24,2.0,0.0,0.0,11.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,4.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,9.0,0.0,2.0,11.0,0.0
25,1.0,0.0,0.0,11.0,6.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,11.0,9.0,0.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0
26,0.0,0.0,1.0,8.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,34.0,7.0,0.0,11.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,6.0,0.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0
27,1.0,0.0,0.0,9.0,5.0,1.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,20.0,10.0,0.0,14.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,0.0,0.0,5.0,0.0,0.0,15.0,0.0
28,0.0,0.0,0.0,7.0,6.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,21.0,6.0,0.0,15.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,13.0,0.0
29,0.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,12.0,4.0,0.0,10.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0
30,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,7.0,8.0,1.0,9.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,9.0,0.0,1.0,8.0,0.0
31,0.0,0.0,0.0,10.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,4.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,3.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0
32,2.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,14.0,6.0,0.0,12.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,23.0,1.0,0.0,1.0,8.0,0.0,0.0,12.0,0.0
33,0.0,0.0,1.0,6.0,9.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,4.0,2.0,5.0,7.0,0.0,11.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,15.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,32.0,4.0,1.0,0.0,8.0,1.0,0.0,12.0,0.0
34,1.0,0.0,1.0,11.0,8.0,1.0,4.0,0.0,2.0,4.0,0.0,2.0,2.0,0.0,2.0,3.0,14.0,6.0,0.0,18.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,8.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,31.0,4.0,0.0,0.0,9.0,0.0,0.0,34.0,0.0
35,1.0,0.0,2.0,5.0,7.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,6.0,1.0,2.0,5.0,13.0,5.0,0.0,19.0,5.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,17.0,0.0,3.0,0.0,2.0,1.0,0.0,12.0,1.0,28.0,5.0,0.0,0.0,10.0,1.0,0.0,15.0,0.0
36,0.0,0.0,2.0,18.0,7.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,9.0,9.0,0.0,21.0,12.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,39.0,11.0,1.0,0.0,10.0,1.0,0.0,23.0,0.0
37,2.0,0.0,0.0,14.0,4.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,10.0,0.0,15.0,6.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,6.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,38.0,10.0,0.0,3.0,16.0,2.0,0.0,18.0,0.0
38,0.0,1.0,2.0,10.0,9.0,2.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,19.0,0.0,12.0,2.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,9.0,1.0,8.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,27.0,5.0,2.0,0.0,12.0,0.0,0.0,16.0,0.0
39,0.0,0.0,1.0,7.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,13.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,15.0,4.0,0.0,1.0,7.0,0.0,0.0,10.0,0.0
40,0.0,0.0,1.0,6.0,5.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,6.0,9.0,0.0,15.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,16.0,4.0,0.0,0.0,3.0,1.0,1.0,6.0,0.0
41,1.0,0.0,1.0,13.0,5.0,3.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,8.0,1.0,24.0,3.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,19.0,2.0,0.0,1.0,9.0,0.0,0.0,7.0,0.0
42,0.0,0.0,0.0,8.0,3.0,1.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,18.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,13.0,4.0,0.0,1.0,9.0,1.0,0.0,12.0,0.0
43,1.0,0.0,0.0,15.0,9.0,2.0,1.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,2.0,3.0,5.0,6.0,1.0,13.0,3.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,8.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,26.0,5.0,0.0,2.0,9.0,0.0,0.0,14.0,0.0
44,0.0,0.0,1.0,8.0,10.0,4.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,6.0,0.0,24.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,18.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,21.0,4.0,0.0,0.0,16.0,0.0,0.0,11.0,0.0
45,1.0,0.0,1.0,18.0,16.0,4.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,3.0,0.0,22.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,3.0,0.0,0.0,11.0,1.0,0.0,9.0,0.0
46,1.0,0.0,0.0,14.0,14.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,21.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,2.0,1.0,0.0,4.0,1.0,0.0,8.0,0.0
47,1.0,0.0,1.0,16.0,9.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,5.0,2.0,4.0,3.0,0.0,37.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,6.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,1.0,9.0,1.0,0.0,7.0,0.0
48,2.0,0.0,0.0,7.0,7.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,2.0,1.0,33.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,32.0,3.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0
49,2.0,0.0,1.0,14.0,6.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,23.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,30.0,3.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0
50,0.0,0.0,0.0,15.0,6.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,17.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,8.0,1.0,0.0,12.0,0.0
51,0.0,0.0,0.0,16.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,4.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0
52,1.0,0.0,0.0,8.0,2.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,22.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0
53,1.0,0.0,0.0,21.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0
54,0.0,0.0,0.0,13.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0
55,0.0,0.0,0.0,16.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,0.0
56,1.0,0.0,0.0,13.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
57,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,17.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
58,1.0,1.0,0.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
59,0.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
60,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
61,0.0,0.0,0.0,6.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0
62,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
63,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
64,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
65,1.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
