"('A',)","('B',)","('C',)","('D',)","('E',)","('F',)","('G',)","('A', 'B')","('A', 'C')","('A', 'D')","('A', 'E')","('A', 'F')","('A', 'G')","('B', 'C')","('B', 'D')","('B', 'E')","('B', 'F')","('B', 'G')","('C', 'D')","('C', 'E')","('C', 'F')","('C', 'G')","('D', 'E')","('D', 'F')","('D', 'G')","('E', 'F')","('E', 'G')","('F', 'G')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'B', 'E')","('A', 'B', 'F')","('A', 'B', 'G')","('A', 'C', 'D')","('A', 'C', 'E')","('A', 'C', 'F')","('A', 'C', 'G')","('A', 'D', 'E')","('A', 'D', 'F')","('A', 'D', 'G')","('A', 'E', 'F')","('A', 'E', 'G')","('A', 'F', 'G')","('B', 'C', 'D')","('B', 'C', 'E')","('B', 'C', 'F')","('B', 'C', 'G')","('B', 'D', 'E')","('B', 'D', 'F')","('B', 'D', 'G')","('B', 'E', 'F')","('B', 'E', 'G')","('B', 'F', 'G')","('C', 'D', 'E')","('C', 'D', 'F')","('C', 'D', 'G')","('C', 'E', 'F')","('C', 'E', 'G')","('C', 'F', 'G')","('D', 'E', 'F')","('D', 'E', 'G')","('D', 'F', 'G')","('E', 'F', 'G')","('A', 'B', 'C', 'D')","('A', 'B', 'C', 'E')","('A', 'B', 'C', 'F')","('A', 'B', 'C', 'G')","('A', 'B', 'D', 'E')","('A', 'B', 'D', 'F')","('A', 'B', 'D', 'G')","('A', 'B', 'E', 'F')","('A', 'B', 'E', 'G')","('A', 'B', 'F', 'G')","('A', 'C', 'D', 'E')","('A', 'C', 'D', 'F')","('A', 'C', 'D', 'G')","('A', 'C', 'E', 'F')","('A', 'C', 'E', 'G')","('A', 'C', 'F', 'G')","('A', 'D', 'E', 'F')","('A', 'D', 'E', 'G')","('A', 'D', 'F', 'G')","('A', 'E', 'F', 'G')","('B', 'C', 'D', 'E')","('B', 'C', 'D', 'F')","('B', 'C', 'D', 'G')","('B', 'C', 'E', 'F')","('B', 'C', 'E', 'G')","('B', 'C', 'F', 'G')","('B', 'D', 'E', 'F')","('B', 'D', 'E', 'G')","('B', 'D', 'F', 'G')","('B', 'E', 'F', 'G')","('C', 'D', 'E', 'F')","('C', 'D', 'E', 'G')","('C', 'D', 'F', 'G')","('C', 'E', 'F', 'G')","('D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E')","('A', 'B', 'C', 'D', 'F')","('A', 'B', 'C', 'D', 'G')","('A', 'B', 'C', 'E', 'F')","('A', 'B', 'C', 'E', 'G')","('A', 'B', 'C', 'F', 'G')","('A', 'B', 'D', 'E', 'F')","('A', 'B', 'D', 'E', 'G')","('A', 'B', 'D', 'F', 'G')","('A', 'B', 'E', 'F', 'G')","('A', 'C', 'D', 'E', 'F')","('A', 'C', 'D', 'E', 'G')","('A', 'C', 'D', 'F', 'G')","('A', 'C', 'E', 'F', 'G')","('A', 'D', 'E', 'F', 'G')","('B', 'C', 'D', 'E', 'F')","('B', 'C', 'D', 'E', 'G')","('B', 'C', 'D', 'F', 'G')","('B', 'C', 'E', 'F', 'G')","('B', 'D', 'E', 'F', 'G')","('C', 'D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E', 'F')","('A', 'B', 'C', 'D', 'E', 'G')","('A', 'B', 'C', 'D', 'F', 'G')","('A', 'B', 'C', 'E', 'F', 'G')","('A', 'B', 'D', 'E', 'F', 'G')","('A', 'C', 'D', 'E', 'F', 'G')","('B', 'C', 'D', 'E', 'F', 'G')","('A', 'B', 'C', 'D', 'E', 'F', 'G')"
29,19,17,31,20,41,30,37,40,35,16,47,31,19,17,10,16,17,17,5,17,10,29,82,24,30,11,35,45,24,8,15,31,30,4,14,22,23,84,20,25,11,34,8,0,4,15,8,17,7,7,2,7,8,34,6,12,3,5,56,14,36,16,21,0,0,38,5,14,14,1,5,8,11,48,11,13,1,5,62,8,35,12,0,0,6,0,0,0,6,0,2,0,37,5,17,9,30,0,0,17,0,0,0,1,0,5,0,45,3,17,5,22,0,0,0,0,0,23,0,0,0,0,0,15,0,0
27,20,17,30,21,41,29,33,48,17,12,26,27,23,16,8,18,16,21,5,14,13,33,84,23,27,11,39,76,26,4,16,26,50,0,8,34,2,11,14,4,7,18,28,0,6,19,7,18,8,4,3,11,5,21,15,7,2,12,67,15,66,19,88,0,9,57,0,14,24,0,5,9,0,8,49,0,0,5,2,1,10,2,0,6,27,0,0,5,4,0,7,0,15,3,14,8,52,0,14,88,0,0,8,0,0,12,0,0,0,8,0,2,0,0,5,0,0,11,0,0,14,0,0,0,0,0
29,20,17,28,18,38,28,31,50,14,8,22,17,21,13,6,17,13,20,11,10,8,28,69,25,18,14,33,70,16,2,13,11,62,0,8,16,4,3,7,2,1,9,28,6,6,5,4,7,5,0,4,7,10,4,6,2,2,5,49,12,62,15,98,0,8,15,1,0,5,0,1,3,0,0,15,0,0,3,2,0,0,0,6,0,3,0,0,3,0,1,4,0,2,2,3,2,38,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
32,24,16,26,18,37,27,42,46,10,7,19,11,20,18,6,19,17,12,9,10,8,22,73,19,20,14,30,51,3,1,16,8,0,5,7,3,5,10,2,2,1,8,10,4,6,3,4,28,10,0,4,13,7,5,5,1,3,4,41,6,36,5,0,0,10,0,1,2,1,0,1,2,0,0,0,0,0,2,4,1,3,0,4,3,4,0,2,0,0,2,20,0,0,2,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
30,24,17,26,19,40,27,43,50,13,10,24,8,20,24,8,32,15,8,13,9,9,30,79,17,38,14,26,63,3,1,18,7,1,14,19,0,9,21,3,9,2,9,5,1,9,6,11,64,10,14,4,17,5,5,4,4,6,3,82,9,43,18,0,0,20,0,0,4,0,0,0,2,1,2,0,2,0,0,17,3,11,4,0,1,2,1,0,2,36,5,38,12,5,1,1,1,37,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,29,1,0,0,0,0,0,0,0,0
34,27,20,26,19,37,26,52,60,24,15,21,16,26,23,11,26,16,13,14,15,7,27,61,15,30,11,19,78,20,6,23,14,27,16,42,8,12,17,5,1,3,6,9,5,15,9,10,37,7,17,5,9,11,12,3,6,1,1,50,12,20,12,18,4,59,10,3,12,6,0,1,5,9,4,5,2,1,0,2,0,8,0,3,3,4,3,2,0,22,2,11,6,12,0,1,0,17,3,0,7,0,1,0,0,0,8,0,4,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0
35,27,21,25,20,35,24,52,75,20,16,23,15,27,14,22,17,23,15,10,15,7,22,50,17,26,14,23,77,12,17,14,18,34,16,26,9,6,16,5,5,4,7,4,10,14,5,16,15,8,15,11,10,2,3,5,8,1,4,35,12,14,9,12,16,39,12,7,2,7,5,5,6,0,0,6,10,0,0,4,0,1,0,0,0,4,6,0,0,16,5,4,4,2,1,1,1,14,0,0,12,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
39,26,22,27,19,33,24,47,91,20,21,24,18,24,12,22,20,13,10,15,18,6,21,47,16,19,10,23,64,6,14,15,7,13,47,31,10,15,14,12,8,8,15,2,15,17,3,13,13,5,14,3,12,1,7,2,10,1,7,26,6,11,4,2,37,25,8,6,3,3,7,2,11,0,7,0,14,0,8,8,10,4,3,1,2,1,13,1,3,16,4,6,3,2,1,2,1,6,0,0,0,14,0,8,5,3,3,2,0,0,0,0,4,2,1,1,1,5,1,0,0,0,0,3,0,1,0
39,25,24,27,18,32,24,42,84,24,24,24,14,19,6,11,17,13,11,18,26,5,25,49,15,21,10,15,42,2,9,15,7,10,53,30,4,26,17,11,17,14,8,1,9,14,2,1,12,1,3,3,1,3,9,3,5,0,13,34,11,12,10,0,12,20,4,0,3,0,4,2,0,1,1,0,9,0,0,25,22,11,15,0,1,0,5,0,0,0,0,0,0,2,0,9,0,16,0,0,0,9,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,24,26,24,18,29,24,34,72,25,26,19,12,20,7,7,9,13,16,21,22,10,28,39,12,24,12,15,27,0,4,9,2,10,41,18,11,44,23,13,30,15,10,2,10,12,3,3,0,3,0,1,2,7,17,7,18,5,13,42,11,12,17,0,10,11,1,0,0,0,0,1,0,5,8,4,15,5,11,57,34,14,24,0,0,2,0,1,2,0,0,0,0,13,4,18,15,21,0,0,0,0,1,0,0,0,0,0,12,4,11,15,36,0,0,0,0,0,15,0,0,0,0,0,15,0,0
34,27,27,24,17,30,22,35,63,15,15,15,12,21,8,4,15,7,17,20,25,12,32,42,14,24,14,20,31,0,0,7,1,2,16,11,17,31,26,10,22,12,7,5,3,15,3,1,2,3,1,0,5,7,17,8,24,11,18,61,17,23,24,0,0,12,0,0,0,0,0,0,0,2,4,1,8,8,4,60,23,19,20,0,3,3,3,0,3,0,0,1,0,15,4,20,22,59,0,0,0,0,0,0,0,0,0,0,8,2,4,8,56,0,0,3,0,0,18,0,0,0,0,0,8,0,0
30,28,26,23,16,29,22,38,52,14,12,13,14,20,17,8,17,9,15,13,21,12,23,33,22,14,17,22,47,2,2,11,3,3,4,17,7,19,15,13,11,7,6,6,3,14,4,5,7,10,1,1,4,7,14,8,4,5,11,30,20,18,7,0,0,18,0,0,0,2,0,0,0,0,6,3,0,2,6,30,13,9,7,3,2,2,1,1,5,0,1,3,0,3,1,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0
31,26,23,23,17,26,22,37,44,10,11,13,10,25,20,10,19,6,24,14,15,14,24,31,24,12,18,18,36,7,6,15,5,8,4,16,9,4,6,5,1,3,3,19,10,12,3,9,9,7,0,1,3,14,16,10,4,7,5,24,30,30,13,7,2,21,2,3,3,2,0,0,1,1,5,3,0,3,2,2,0,4,0,8,5,2,0,0,1,0,1,5,0,10,3,12,3,30,1,5,1,0,0,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,0
32,26,26,21,16,27,24,33,45,8,15,17,6,29,19,13,16,11,21,14,18,17,19,33,20,12,11,26,36,6,10,10,2,8,21,5,6,0,7,0,0,3,2,15,12,5,5,13,8,11,4,2,3,12,28,12,9,9,17,27,13,36,17,6,16,1,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,10,4,1,2,0,0,4,2,3,1,24,11,35,16,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,35,0,0,0,0,0,0,0,0
31,26,27,21,14,25,25,38,59,11,14,14,19,32,13,12,12,18,19,12,24,18,12,32,14,15,12,21,55,4,15,7,13,9,19,8,12,1,6,2,2,6,6,11,14,8,13,3,9,7,5,3,3,5,20,5,4,1,15,20,11,10,4,6,19,3,12,1,0,0,2,3,1,3,2,0,0,1,5,0,0,2,0,6,3,2,4,1,1,1,0,0,0,1,0,10,0,6,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,29,30,19,14,23,22,40,71,11,22,8,16,39,9,10,12,19,14,17,23,19,19,29,15,24,14,22,69,4,17,5,8,10,34,8,11,8,1,5,7,9,6,9,13,12,20,3,7,2,8,2,6,17,25,10,25,10,26,47,20,26,31,8,29,4,8,6,0,0,3,1,3,14,1,2,6,2,6,2,4,2,6,7,4,2,10,1,5,3,0,0,1,48,18,28,33,68,14,0,0,3,1,1,0,0,0,1,0,0,2,2,4,5,0,0,1,0,68,0,0,0,1,0,0,0,0
34,33,29,19,13,23,21,47,76,10,14,15,13,41,13,9,16,21,12,20,24,13,12,30,16,20,9,19,63,8,8,14,11,13,37,20,9,1,5,3,10,2,9,5,15,19,11,2,7,4,8,6,15,9,23,10,27,11,22,20,11,24,20,2,15,12,6,0,5,0,6,1,9,1,5,0,20,2,5,1,0,0,2,3,8,5,13,7,17,3,3,6,7,25,14,30,33,25,0,2,0,10,1,3,0,0,0,1,1,0,0,2,0,6,5,10,12,5,42,0,0,0,1,0,0,10,0
33,30,25,21,13,21,22,51,56,15,8,16,12,40,13,8,17,19,13,14,21,10,12,35,8,15,9,16,68,11,10,13,15,17,11,13,4,2,4,3,6,4,4,7,16,20,12,4,10,1,10,5,14,6,14,2,11,5,15,17,6,15,14,8,18,9,6,4,2,0,5,6,5,2,3,0,3,1,1,1,0,0,4,4,6,1,12,6,17,5,1,3,11,5,1,7,12,11,3,3,0,3,2,2,2,0,0,5,2,0,0,1,0,6,1,3,13,3,3,3,0,0,2,0,0,3,0
32,30,21,20,13,20,22,37,48,10,8,10,21,30,15,11,18,18,16,7,12,13,10,28,9,8,10,14,38,14,9,9,14,19,9,5,19,1,1,2,3,2,5,26,11,21,6,6,17,3,6,4,8,4,12,5,0,1,8,11,5,12,5,29,14,2,5,1,1,2,3,2,4,0,2,4,0,0,4,0,2,2,2,6,21,4,0,0,8,5,3,4,2,0,1,6,0,6,0,2,4,0,0,4,0,2,2,2,0,0,4,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0
29,27,21,18,16,17,23,26,47,8,8,9,32,20,17,10,18,20,13,7,14,15,9,21,8,7,11,10,17,5,3,9,18,15,12,11,30,2,2,2,2,2,1,16,1,14,7,5,13,6,4,6,2,5,12,6,3,0,6,7,1,7,1,2,2,7,2,0,1,3,2,0,0,6,4,0,1,0,0,0,0,0,0,0,19,6,1,0,4,2,0,2,0,2,0,6,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
27,27,23,19,17,14,22,24,50,3,8,8,24,20,19,7,11,19,6,4,14,13,14,19,10,5,12,11,26,5,1,2,20,2,5,14,17,0,1,4,0,3,5,6,0,8,9,2,9,10,1,7,6,1,8,4,2,1,8,8,7,8,2,2,0,1,5,0,1,5,0,0,1,0,1,2,0,2,8,0,0,1,0,0,6,4,0,0,6,0,6,3,1,2,0,4,0,2,0,1,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
26,26,23,19,16,14,24,21,39,8,8,5,14,13,14,6,8,17,5,3,9,11,18,23,13,8,11,10,12,5,3,3,11,6,3,6,3,1,5,3,0,4,4,5,1,2,4,6,5,6,4,4,3,0,6,4,0,1,6,15,10,13,2,5,3,3,2,0,1,2,0,2,2,0,2,1,0,2,3,0,0,3,0,0,2,2,0,1,2,5,2,2,1,0,0,6,0,4,0,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
24,25,21,20,17,17,25,21,25,8,7,9,15,10,14,8,10,12,4,3,5,11,20,23,14,17,20,10,11,6,1,6,2,4,0,5,7,3,10,0,3,5,2,3,2,3,2,6,10,5,7,3,1,0,2,1,1,0,3,24,15,9,10,3,0,4,1,2,8,0,2,0,1,0,2,0,0,0,2,4,0,0,0,0,2,0,1,0,0,6,2,0,2,0,0,0,0,14,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,26,22,21,15,17,25,16,16,11,10,8,15,12,16,10,11,14,5,5,4,13,20,26,19,14,17,11,7,3,4,3,5,3,2,2,7,8,12,11,4,11,3,3,2,3,3,5,6,3,4,6,0,2,3,2,2,0,1,20,18,16,11,2,1,2,3,1,1,2,2,3,0,1,1,0,0,0,1,7,13,6,3,2,2,0,1,0,0,4,1,0,0,1,0,0,0,20,1,1,0,0,0,0,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,29,19,21,15,17,25,19,9,13,11,10,12,13,14,11,8,19,3,5,4,10,16,23,19,19,9,11,3,5,9,2,7,1,2,2,2,10,16,9,8,6,6,1,1,1,5,3,5,4,4,3,1,2,2,2,7,2,1,15,9,20,13,1,1,1,2,1,1,0,2,1,0,2,2,0,4,0,0,11,9,18,7,1,1,0,1,0,0,3,2,2,1,4,0,0,2,18,1,1,0,1,0,0,1,0,0,0,4,0,0,0,18,1,0,0,0,2,0,1,0,0,0,0,0,0,0
23,30,19,21,15,18,23,20,17,7,9,12,10,16,18,11,11,21,2,8,8,11,15,23,19,19,7,7,7,6,7,4,6,1,5,8,1,4,6,1,7,0,0,1,6,3,9,4,5,4,6,4,2,2,1,1,8,2,1,14,9,22,4,1,7,2,0,1,2,0,2,0,0,1,1,0,4,0,0,5,0,0,0,1,1,0,4,2,1,1,2,1,2,2,0,0,2,7,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0
27,31,18,20,15,17,24,21,18,9,6,11,11,13,14,12,10,31,2,9,6,13,17,21,19,11,11,4,5,4,3,3,12,0,4,4,3,5,4,4,6,4,0,0,3,2,13,10,6,7,4,11,1,2,0,0,3,3,1,7,13,11,1,0,3,2,3,0,0,0,2,3,0,0,0,0,3,1,0,2,4,0,0,0,0,0,1,1,0,6,8,1,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,30,22,19,17,16,24,32,24,13,10,9,17,20,14,17,13,25,5,7,5,13,21,16,17,9,16,10,24,5,14,4,20,1,3,3,8,11,5,7,2,10,1,0,6,0,12,9,5,5,5,16,4,1,2,0,0,3,0,11,13,9,4,0,6,0,10,1,1,2,1,16,0,0,0,0,0,2,0,3,2,2,1,0,0,0,0,2,0,5,2,0,1,0,0,0,0,9,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,23,17,16,17,24,37,33,9,13,11,18,16,8,17,16,24,6,8,9,18,22,14,11,8,16,15,26,5,18,11,18,4,5,5,10,7,3,2,3,15,3,1,6,1,8,5,4,2,3,14,10,4,4,4,4,5,7,15,15,10,6,1,4,0,10,2,2,0,3,20,2,2,2,0,1,3,1,2,1,1,1,0,0,0,0,4,0,1,2,2,0,4,2,2,3,13,0,0,0,0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
30,28,26,19,19,16,23,35,45,7,16,18,21,18,9,15,19,17,2,11,6,18,17,13,14,14,17,14,23,11,15,26,15,1,8,5,21,2,9,4,7,7,14,2,6,1,13,3,7,3,4,13,7,1,1,1,4,9,4,14,12,9,3,1,4,1,14,2,15,4,6,10,8,0,1,1,0,4,5,4,0,4,0,0,1,0,0,10,0,2,2,2,0,1,0,0,0,7,0,1,0,0,6,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,26,29,20,18,20,24,29,55,7,17,18,20,24,12,11,8,16,6,15,9,18,17,35,19,14,17,20,36,5,8,7,17,3,18,14,26,8,7,3,9,4,12,3,10,2,13,3,5,5,0,7,3,3,8,4,4,10,8,18,11,29,9,2,9,4,22,1,4,3,0,2,3,1,4,3,5,7,12,6,1,4,3,0,1,1,0,8,1,0,2,3,0,6,2,6,2,11,0,2,2,0,7,2,0,0,3,0,2,1,4,2,2,0,0,1,0,0,4,0,0,2,0,0,2,0,0
28,23,27,20,17,19,26,23,46,13,17,19,23,38,12,18,7,22,10,22,10,23,15,28,13,10,14,15,50,5,13,5,15,9,32,15,20,8,13,3,5,7,6,7,22,3,17,11,3,9,3,14,1,6,10,3,8,13,5,9,10,12,4,4,33,6,19,2,1,2,1,7,1,4,8,0,6,14,4,6,0,1,1,4,0,2,0,13,0,3,12,0,0,8,2,2,2,0,1,0,0,0,19,0,1,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
27,21,28,18,17,19,25,26,33,10,19,18,26,33,11,16,11,21,10,22,9,27,16,24,7,11,16,11,27,5,14,6,23,3,22,12,26,4,5,3,4,15,5,9,16,2,23,6,2,6,5,12,4,12,2,6,2,19,3,7,6,2,1,1,16,3,21,1,0,2,0,10,3,3,2,1,2,15,1,2,1,1,0,6,0,6,0,14,1,0,3,0,0,0,7,0,0,0,1,0,1,0,11,1,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
26,20,25,18,18,20,25,31,31,15,23,11,19,32,9,14,15,14,12,27,11,20,12,20,15,15,18,12,30,6,18,9,14,12,25,10,20,13,2,8,11,14,7,10,10,10,10,3,5,2,6,5,5,11,6,5,5,18,7,6,9,6,6,8,15,10,10,3,0,2,7,4,5,9,0,2,7,16,8,2,6,0,4,2,0,0,2,4,5,1,0,0,2,0,6,2,3,0,2,0,0,6,5,8,0,0,0,3,0,2,0,4,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0
24,22,23,15,18,20,26,37,21,16,18,17,12,24,3,14,14,15,11,22,22,17,11,22,10,17,12,14,26,6,18,11,9,8,14,21,11,11,15,7,11,6,8,1,10,13,5,2,0,2,9,2,7,12,13,5,17,9,10,17,3,4,6,1,8,14,3,5,0,4,7,4,2,6,6,2,13,9,8,7,4,4,3,0,0,0,7,0,1,0,2,0,0,12,4,1,6,0,0,0,0,8,0,0,0,4,0,0,3,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,22,22,15,19,19,23,31,23,9,18,17,11,22,5,10,13,16,15,16,21,17,10,23,6,12,16,12,17,3,14,5,12,11,9,21,10,4,15,3,6,6,8,5,6,6,12,4,4,3,2,5,7,8,24,2,14,7,7,6,3,0,8,0,0,0,8,3,0,4,0,5,2,1,15,0,11,3,8,1,2,0,4,4,3,0,2,2,1,1,2,0,0,4,0,0,5,0,0,0,0,0,0,0,0,3,0,0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
25,22,22,14,19,22,22,24,29,9,14,26,12,20,10,9,12,14,16,9,23,15,14,19,6,12,15,13,17,4,9,4,6,10,12,25,14,4,9,1,7,8,9,8,1,3,7,5,5,2,3,2,2,8,19,3,8,4,9,5,6,2,9,4,3,0,8,3,0,0,0,0,0,0,11,0,9,8,10,0,1,0,7,0,3,1,0,0,0,3,1,0,0,3,2,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
30,24,23,14,21,21,26,26,37,8,21,21,13,16,8,10,12,15,12,15,24,16,12,17,14,17,15,13,16,3,9,9,7,3,11,24,7,6,2,3,15,7,5,5,3,6,2,3,3,3,5,2,1,4,19,8,13,6,8,10,6,12,3,3,0,4,0,3,2,0,7,1,0,0,0,0,9,4,2,2,3,0,2,0,1,1,0,0,1,2,0,1,0,7,1,9,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
32,25,26,13,20,20,26,37,47,5,20,15,32,14,11,13,13,24,7,17,28,14,6,16,18,16,16,12,21,2,23,15,30,0,23,13,17,3,3,3,8,11,6,1,8,5,9,3,4,8,5,7,0,6,11,6,15,6,3,8,4,13,3,0,21,0,18,3,3,0,5,15,0,0,0,0,3,9,2,4,0,0,3,0,1,0,0,5,0,4,0,0,0,6,3,3,1,0,0,0,0,0,14,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,26,24,13,20,21,27,40,32,8,19,14,28,14,10,18,15,27,8,15,17,24,7,14,17,18,15,14,16,7,24,18,24,2,16,8,25,2,2,8,6,10,8,5,7,7,20,4,5,18,8,10,3,5,8,6,14,5,6,6,6,6,3,4,8,3,21,3,2,9,10,14,7,1,0,4,3,8,7,2,1,0,3,3,3,12,3,4,1,3,2,0,2,4,1,1,1,1,2,0,8,3,8,3,2,2,0,6,0,1,0,3,0,1,2,0,1,0,0,0,2,0,3,0,0,0,0
30,26,23,13,19,20,27,45,32,18,22,14,37,22,12,19,15,29,9,14,19,23,6,13,16,14,13,15,30,18,21,13,46,9,11,10,38,4,6,24,7,14,6,8,9,8,22,4,6,17,7,9,11,2,10,7,8,7,6,7,2,6,3,12,9,4,41,3,6,32,4,12,8,0,2,17,0,9,7,4,0,4,0,1,6,9,4,6,5,4,1,5,1,2,0,2,0,1,0,4,21,0,9,8,2,0,8,0,0,0,4,0,0,2,0,4,0,1,0,0,0,8,0,0,0,0,0
33,27,27,13,21,21,26,42,49,19,24,15,37,24,10,18,17,24,10,18,20,21,7,14,14,9,15,14,35,11,21,14,32,13,28,13,35,4,9,23,5,16,9,2,12,7,12,6,9,8,8,12,10,1,7,9,8,12,7,3,4,8,2,4,16,9,22,3,7,14,7,16,7,0,3,19,4,22,4,2,1,7,1,0,2,5,6,5,6,2,1,6,2,1,0,4,0,0,0,2,11,4,11,6,2,1,5,1,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0
35,28,27,11,21,22,26,40,60,10,28,22,33,25,4,15,24,22,8,12,20,19,9,11,14,8,14,11,40,4,17,18,21,12,19,15,33,5,5,13,3,11,9,2,10,13,10,2,1,5,6,8,17,3,3,6,6,4,3,3,7,4,1,3,15,13,15,1,0,4,2,6,10,1,1,10,2,4,4,0,4,1,0,0,0,2,3,3,6,1,3,1,1,2,1,1,0,1,0,0,3,0,3,7,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,32,27,13,23,21,26,48,49,11,27,27,31,30,11,15,27,25,10,18,24,18,10,18,11,8,13,19,47,13,21,35,33,6,21,32,29,3,10,10,6,17,24,5,11,27,15,1,14,8,4,6,19,5,11,1,5,4,19,8,2,7,1,8,21,43,25,1,18,11,7,11,31,0,5,2,6,9,30,2,0,6,3,0,7,3,6,4,20,1,0,9,2,4,0,3,2,0,0,13,6,12,10,36,1,0,13,5,0,0,5,6,0,0,0,7,4,0,0,0,0,13,10,0,0,0,0
34,28,29,11,21,21,25,35,46,10,21,23,34,25,7,12,26,20,8,17,24,24,9,12,10,10,13,20,29,4,12,21,22,8,19,21,40,5,9,9,8,11,27,2,7,17,14,3,5,3,6,1,11,6,4,3,8,6,22,7,3,9,2,2,9,14,18,1,2,2,5,4,9,1,2,5,10,14,22,2,2,14,2,1,0,0,8,0,12,0,0,2,0,4,0,2,2,0,1,0,0,8,0,8,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,27,29,15,23,19,23,40,32,12,19,18,32,18,8,17,11,23,8,21,15,28,17,18,5,13,12,13,18,5,12,9,24,5,9,8,37,9,13,3,9,5,11,1,5,2,12,5,3,2,2,4,4,10,2,1,6,3,9,14,3,7,9,0,1,4,15,1,3,1,2,1,1,3,1,2,2,2,4,11,2,1,6,2,0,0,0,0,1,1,1,0,0,1,0,0,2,3,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,27,31,14,22,19,22,45,41,10,22,15,22,23,10,17,14,23,7,18,8,32,13,21,4,14,9,10,36,9,17,13,24,7,10,4,24,5,7,1,12,3,4,3,6,1,19,2,3,0,6,7,10,5,1,4,4,2,1,10,1,1,3,4,5,2,24,0,3,0,7,5,6,1,1,2,2,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,29,29,14,23,16,23,38,38,16,25,11,19,24,12,16,10,24,11,19,8,26,12,14,5,24,11,6,26,11,19,6,12,11,10,3,27,9,4,3,8,6,2,4,4,1,17,5,2,4,3,9,5,7,5,5,10,5,1,17,1,2,2,4,5,0,12,8,3,0,0,2,1,5,0,5,3,3,1,1,0,0,2,3,0,2,0,1,0,0,1,0,0,5,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
