A,B,C,AB,AC,BC,ABC
46,40,55,59,68,73,81
47,40,54,59,66,66,70
47,40,55,57,74,70,72
47,40,55,57,71,63,69
47,39,55,55,68,65,62
47,38,55,54,69,67,72
47,40,55,51,74,71,85
47,40,55,50,74,70,87
47,38,55,47,80,65,83
46,38,55,45,83,62,80
45,39,54,48,86,59,69
44,39,54,46,91,64,70
43,41,53,47,90,65,75
43,41,53,47,90,65,63
43,41,52,43,93,59,59
43,42,51,43,91,62,63
42,42,51,39,90,59,68
43,45,51,42,92,56,68
43,44,50,40,95,57,72
44,45,50,48,100,53,81
44,45,51,46,102,53,80
43,46,51,49,100,56,80
43,48,52,53,109,55,89
44,48,51,52,111,51,79
44,48,51,49,111,50,83
44,48,51,45,113,49,77
43,48,48,48,106,49,78
44,48,48,50,99,46,74
44,49,46,54,99,45,77
45,50,44,56,100,44,68
46,50,43,58,93,46,64
45,49,43,60,91,44,62
48,50,43,60,93,42,57
49,50,43,60,85,42,53
50,49,42,61,82,45,50
51,50,43,63,73,41,46
51,50,40,66,70,35,42
51,50,41,62,72,37,41
52,51,42,56,76,39,42
51,51,44,58,72,39,48
51,51,44,60,72,41,45
51,51,44,66,66,41,45
51,52,46,65,62,41,46
50,52,47,65,67,43,54
50,52,47,60,71,50,63
49,53,46,59,68,51,68
49,52,45,56,64,47,59
54,53,47,58,67,47,63
54,52,48,58,70,50,65
54,52,50,64,72,49,70
54,53,52,62,80,51,66
54,52,53,60,83,49,64
54,52,53,57,86,48,59
55,52,55,57,92,50,65
55,52,58,56,105,55,60
55,52,58,54,114,59,72
56,52,58,56,121,56,78
56,53,59,58,133,57,81
56,53,62,59,139,59,84
57,52,62,55,142,59,78
57,53,62,58,143,59,76
57,52,61,60,143,59,79
58,52,60,65,140,63,90
56,51,60,66,140,63,88
55,52,60,68,135,66,92
55,53,61,67,134,65,90
55,54,61,73,134,66,103
55,55,61,67,131,67,94
55,55,60,65,129,69,93
55,55,61,63,133,66,89
55,54,61,63,131,65,88
55,54,61,63,122,64,81
55,53,61,62,122,62,78
54,53,62,66,129,54,75
52,54,63,60,123,58,68
52,54,62,56,119,57,63
52,56,61,58,121,55,65
52,55,61,63,119,54,68
52,55,60,65,113,53,79
52,55,61,60,112,53,79
51,55,61,65,108,55,81
52,55,61,72,112,58,94
53,55,62,74,118,55,99
52,54,62,72,117,55,100
52,54,61,74,119,56,104
53,54,62,74,123,55,103
53,54,61,70,128,57,94
53,54,62,69,138,56,83
54,55,62,69,142,52,93
54,55,62,68,143,48,87
55,56,62,63,148,47,81
54,56,62,61,154,44,65
53,56,62,61,157,42,64
53,56,59,62,158,36,54
54,55,58,59,150,33,49
54,54,57,65,142,35,48
53,55,56,61,135,35,35
53,55,56,61,129,36,36
53,56,55,67,122,41,48
55,56,56,71,122,43,47
55,54,56,62,117,36,29
55,54,57,61,111,36,34
54,55,57,63,103,38,35
53,54,56,62,102,40,35
52,53,55,58,96,38,31
52,53,57,58,95,35,27
51,53,57,56,95,35,22
51,55,57,60,96,43,35
50,56,57,59,98,44,39
48,56,56,58,89,46,41
49,57,56,55,84,44,36
48,57,56,56,79,45,34
47,57,55,50,79,48,36
47,55,55,51,71,42,32
47,54,55,47,70,45,38
47,54,55,48,70,43,35
47,54,53,50,70,45,36
47,54,52,49,73,43,34
50,56,50,46,69,39,35
51,55,50,51,68,37,38
52,55,50,54,66,37,37
52,55,51,55,68,37,34
52,55,49,59,58,35,28
52,55,49,57,58,40,28
52,55,50,58,59,41,31
52,56,50,61,58,43,34
53,56,47,62,57,44,36
53,57,48,60,50,49,32
55,57,46,68,53,48,39
55,57,47,75,52,46,39
54,57,50,72,47,47,35
54,55,51,63,53,52,40
55,55,51,65,65,52,43
55,54,52,67,71,51,46
55,54,54,67,75,47,46
55,53,54,66,76,46,53
55,53,54,62,84,47,44
55,53,55,64,100,49,55
56,54,55,65,100,49,48
56,54,53,63,112,46,54
56,53,52,63,111,45,56
55,52,54,64,115,43,58
55,52,54,59,118,46,60
54,51,54,60,112,44,61
54,51,54,63,111,46,60
53,51,55,62,102,45,49
52,51,55,64,95,45,45
52,50,55,63,88,46,42
51,50,56,66,82,41,45
52,51,56,69,72,42,42
53,51,56,71,74,43,57
51,52,54,72,70,42,47
50,52,54,71,68,40,47
50,51,54,71,61,44,45
50,52,54,69,60,45,49
50,52,54,68,64,43,51
50,52,53,70,68,45,58
50,52,53,75,69,43,63
50,52,54,74,62,43,65
51,52,54,77,68,46,77
49,53,54,75,69,50,80
48,53,54,75,69,52,89
47,54,54,72,73,57,93
45,53,55,66,71,57,87
44,53,55,66,71,63,87
44,53,53,67,72,64,88
44,52,53,65,69,61,93
44,51,52,67,70,59,93
43,52,50,65,68,56,87
42,53,50,67,67,55,101
43,53,50,65,75,54,102
42,53,49,69,74,56,114
43,53,49,68,80,58,114
43,52,50,67,87,57,118
44,53,50,70,87,63,136
46,52,51,75,93,66,141
47,53,51,76,107,67,164
46,52,50,74,105,66,149
47,52,50,74,107,68,148
47,52,48,77,104,69,157
48,52,50,76,108,71,157
48,53,48,75,108,68,140
48,52,47,74,104,67,121
48,52,48,73,108,72,121
49,50,49,74,110,77,124
48,49,49,69,111,68,116
49,49,50,66,112,66,114
49,48,51,67,112,62,114
49,48,52,71,111,62,134
49,48,52,66,113,51,125
49,48,54,63,122,48,114
49,48,54,64,113,47,97
49,46,56,57,110,43,90
49,46,57,57,106,42,77
50,45,58,51,101,41,62
49,45,55,50,94,37,47
49,45,56,51,89,38,40
47,44,56,47,89,35,32
47,44,57,48,91,37,33
45,44,57,41,86,36,28
46,42,57,32,77,32,14
44,43,57,35,73,36,16
44,43,57,34,73,36,20
43,43,57,30,67,36,13
42,45,57,31,64,33,15
42,44,57,31,61,34,15
42,44,58,29,62,28,14
43,43,58,29,65,27,16
42,43,58,30,64,24,16
43,42,58,32,62,24,16
42,41,56,33,63,25,19
42,41,56,35,61,25,18
41,40,56,34,66,29,19
42,41,56,37,71,32,25
43,41,55,43,75,35,29
42,41,56,40,66,36,20
40,40,56,40,61,32,15
40,40,56,37,56,35,12
40,41,54,32,54,36,10
39,41,53,33,44,38,7
38,41,52,33,37,38,12
38,42,51,31,35,34,13
38,41,49,31,34,33,14
37,42,48,30,33,34,14
38,42,47,33,35,36,22
38,41,47,33,36,37,26
38,40,45,36,32,32,21
38,40,41,41,31,27,24
38,39,38,43,32,28,23
39,39,39,45,34,31,25
39,39,38,46,32,29,22
38,39,38,46,32,29,19
39,39,37,44,29,27,18
39,38,36,43,29,23,21
39,38,35,40,30,21,17
39,38,35,40,29,22,23
38,38,33,38,28,26,25
39,37,33,37,32,25,31
39,37,32,38,36,25,32
41,38,32,44,36,27,36
42,38,32,44,39,25,34
42,37,32,45,37,24,31
41,37,32,40,45,26,30
41,37,34,43,48,24,29
43,38,34,42,50,20,21
43,40,36,42,56,17,15
42,40,36,39,57,17,15
44,40,36,42,61,20,15
44,40,36,44,63,20,20
45,40,36,40,69,20,18
44,42,36,49,75,21,23
45,43,35,55,74,20,28
45,42,36,55,73,24,33
44,42,36,48,76,22,31
44,42,37,47,75,26,37
44,41,38,47,77,24,39
42,42,38,45,76,26,34
43,42,38,48,79,28,39
43,42,38,53,82,26,43
42,45,37,57,83,27,40
41,45,37,58,81,31,46
42,45,38,56,77,31,46
44,44,38,56,81,28,43
44,44,37,57,76,27,38
42,44,36,54,67,26,36
42,44,36,54,71,25,39
42,44,36,48,67,24,37
42,46,38,49,66,25,33
40,47,39,44,67,25,26
39,48,39,48,65,25,23
39,49,37,48,59,25,25
39,50,36,45,60,25,25
39,50,35,44,60,28,36
39,50,35,48,58,31,44
40,50,34,47,59,33,43
40,50,35,46,55,36,41
38,51,35,45,55,35,41
38,50,35,43,54,37,37
39,52,36,40,50,40,30
40,53,38,45,47,40,32
41,54,39,48,46,44,35
42,55,39,51,44,43,37
43,55,40,52,43,43,39
44,55,41,57,51,41,46
46,55,42,56,53,42,52
47,56,40,57,50,52,60
45,57,40,56,52,58,70
45,58,42,58,57,59,77
46,58,44,61,70,63,107
47,58,48,68,84,68,122
47,58,49,67,84,64,115
48,59,48,70,93,61,114
47,58,48,70,92,60,112
48,58,51,66,95,58,110
48,59,52,66,98,57,108
49,60,57,72,105,65,111
49,62,59,67,102,72,98
50,62,59,66,96,68,80
50,63,59,67,89,66,87
50,62,61,66,91,69,82
50,61,62,67,88,74,90
50,60,62,63,86,61,72
50,60,62,59,84,67,77
49,60,63,56,84,72,81
49,59,65,53,92,82,95
48,58,65,56,98,86,106
48,58,65,53,101,88,101
46,57,64,48,113,88,95
46,56,65,49,119,80,100
46,55,66,46,125,85,125
46,55,67,48,124,93,133
43,52,68,43,125,91,120
43,51,67,46,133,91,130
44,51,68,49,143,93,142
44,51,66,52,149,86,142
45,50,65,52,156,86,164
45,49,64,54,157,84,176
44,50,64,60,153,82,168
44,50,64,61,152,76,153
44,51,63,60,150,80,147
45,51,63,65,146,78,145
45,50,63,64,149,71,142
44,50,63,61,152,69,126
45,50,60,63,139,62,105
45,50,58,60,132,56,93
45,49,56,58,127,49,82
44,48,55,56,126,46,84
44,48,54,54,126,51,83
44,49,52,51,124,49,88
42,48,52,48,125,46,80
42,48,51,47,120,46,78
43,48,50,49,114,42,71
42,48,50,52,109,41,69
42,48,50,51,97,44,58
42,46,50,50,94,47,57
42,46,50,47,91,52,59
42,46,49,43,91,57,68
43,46,48,47,93,60,72
44,47,47,48,87,64,78
44,47,46,48,87,70,86
44,46,46,55,83,69,107
44,48,46,59,83,70,125
44,48,46,64,81,72,126
45,49,46,58,81,76,116
43,49,46,60,91,80,124
43,49,48,65,91,86,147
43,52,48,66,97,85,160
43,53,48,64,100,85,161
42,54,47,57,100,84,153
42,54,48,52,110,91,178
41,54,48,58,119,91,207
42,53,49,60,123,93,208
43,52,50,64,127,95,236
47,52,50,77,135,91,249
47,53,50,76,146,88,251
49,53,48,77,157,90,245
48,56,50,82,160,94,282
49,56,50,81,166,90,264
49,56,50,80,175,85,248
49,56,50,83,179,80,246
50,55,50,82,182,76,217
51,55,50,80,188,74,224
50,55,50,72,185,70,218
50,56,52,75,195,67,212
51,55,50,71,196,65,213
52,56,54,72,197,64,205
52,56,55,73,193,67,191
52,56,57,71,188,70,174
52,55,58,64,185,74,169
52,55,59,57,186,75,148
52,55,59,59,179,82,144
51,55,60,58,176,82,133
51,56,63,61,177,83,128
51,56,63,61,173,86,113
51,55,64,62,166,90,96
50,55,65,60,159,90,99
50,55,65,61,155,88,96
50,54,66,61,155,85,94
49,54,69,56,147,80,86
49,55,70,53,139,80,84
49,55,71,54,142,77,89
49,53,72,54,138,76,88
48,53,72,55,129,76,96
48,55,71,54,125,75,100
47,55,70,53,119,71,88
47,55,70,54,123,70,95
47,55,70,54,124,65,86
46,56,70,54,124,65,94
47,56,68,57,128,62,89
45,56,68,55,125,62,89
45,56,68,57,122,62,89
45,59,67,56,122,74,88
46,59,69,55,123,73,83
46,58,67,55,122,66,71
47,58,67,64,125,67,74
47,59,68,66,124,71,87
49,60,70,74,140,76,100
49,61,68,80,146,78,118
50,61,69,83,155,83,128
50,61,70,84,161,86,143
50,61,72,87,171,86,159
50,61,71,89,173,90,188
50,61,71,90,194,94,224
51,61,71,87,199,93,227
51,61,72,91,198,93,211
52,61,72,93,205,95,234
52,61,72,92,213,92,221
52,61,72,95,222,101,245
52,61,72,91,228,107,256
53,61,72,88,240,109,258
55,61,73,90,248,122,290
56,61,73,88,250,133,301
56,61,74,87,251,128,295
55,60,74,92,255,130,331
55,60,74,93,258,140,385
55,60,74,92,258,139,402
57,60,74,90,253,142,444
57,60,74,85,249,143,417
58,60,74,84,254,148,441
57,60,74,90,258,144,496
55,62,74,94,269,143,548
55,62,74,91,267,140,526
56,62,74,91,279,145,554
56,62,74,91,276,143,552
56,62,74,95,277,142,550
56,60,74,102,280,148,645
56,60,74,104,278,147,664
56,60,74,105,282,146,684
56,62,73,106,281,149,701
56,62,73,113,268,147,727
58,62,74,116,269,151,773
58,63,74,116,273,154,790
59,64,74,112,272,157,761
59,62,74,117,269,153,748
60,61,74,115,266,141,685
61,60,73,120,265,136,679
61,60,74,118,263,132,628
61,60,74,116,265,127,625
62,59,74,112,263,130,615
62,59,74,115,260,124,549
62,59,74,108,260,118,552
61,59,74,105,255,115,539
61,59,75,106,250,116,551
60,59,75,95,231,115,502
60,59,74,90,232,119,499
60,59,73,86,231,123,445
60,60,72,84,227,122,384
61,60,72,80,220,121,390
62,60,72,88,210,125,379
61,58,72,78,198,127,316
60,57,73,76,196,122,271
59,57,72,70,193,118,226
57,58,72,67,188,119,191
58,58,72,69,188,117,188
59,58,72,68,192,118,189
58,59,72,72,187,113,182
59,58,72,79,195,107,184
59,57,72,78,195,99,166
59,57,72,82,197,96,189
59,58,72,83,200,96,190
59,57,72,80,197,92,180
59,57,71,79,190,95,168
59,57,71,77,185,94,170
58,58,71,75,172,93,158
59,59,72,76,168,96,143
57,58,72,76,152,95,147
57,59,72,71,153,90,136
57,58,72,68,157,86,140
56,58,72,70,154,83,145
56,58,71,66,150,80,126
57,58,72,61,157,81,122
57,59,72,59,157,82,121
57,59,72,55,157,77,103
57,58,73,55,168,78,116
57,57,73,54,176,77,108
57,56,72,52,173,73,108
57,56,70,48,170,73,104
57,55,71,49,169,77,110
58,56,71,56,176,75,115
57,56,71,56,176,72,106
57,56,72,53,179,72,107
57,56,72,58,190,70,104
57,56,72,61,192,71,106
56,54,71,59,183,64,100
57,54,70,60,190,69,110
57,54,69,63,196,76,139
57,54,69,70,198,76,153
57,54,69,70,199,78,174
57,54,68,68,206,78,196
57,54,67,68,215,76,201
59,54,67,69,229,73,229
59,54,66,72,223,75,243
59,54,65,73,228,68,264
60,54,64,69,241,70,271
61,53,64,72,243,76,292
59,55,66,77,252,74,277
59,55,66,73,253,70,262
59,55,66,67,249,65,225
59,55,66,65,251,61,206
57,53,66,60,255,58,189
56,54,66,57,261,54,163
56,54,66,55,265,50,145
56,54,65,51,257,50,118
56,56,66,48,255,42,91
56,55,67,52,250,45,75
56,55,66,51,239,45,70
56,55,66,57,235,54,93
56,55,65,60,235,57,100
57,54,65,67,234,65,132
57,54,64,67,220,74,150
58,54,64,71,225,86,214
58,54,64,71,222,91,264
58,54,64,71,219,98,273
58,55,64,76,218,101,276
58,56,64,84,216,104,300
58,55,65,92,219,101,341
58,55,65,91,223,100,358
58,56,66,92,235,102,355
58,56,66,96,257,90,381
58,56,67,99,270,91,436
58,56,67,95,282,89,461
58,56,67,96,296,89,484
58,55,67,95,302,88,479
58,54,67,94,312,87,518
56,56,67,88,314,90,464
56,56,68,84,327,83,422
56,57,68,80,336,83,367
56,57,68,72,354,80,308
55,56,68,68,369,72,262
55,56,67,63,380,67,212
55,55,67,57,379,63,166
56,54,67,50,379,58,149
56,53,66,50,380,60,166
56,52,66,51,375,60,201
56,52,66,51,366,53,191
56,51,67,52,358,55,219
56,51,68,57,353,61,226
57,52,67,58,346,65,252
58,53,69,61,342,72,273
58,54,69,61,332,74,273
60,55,69,65,324,79,294
59,55,69,66,316,77,292
59,55,68,65,316,77,288
59,55,70,68,313,76,292
58,55,71,70,311,74,302
59,55,73,67,313,82,310
58,54,73,66,316,84,284
57,54,72,68,326,77,277
58,53,72,70,332,70,271
58,52,72,66,333,68,239
59,51,72,72,337,64,220
59,50,71,73,328,56,194
59,50,72,73,332,55,165
60,50,73,72,334,54,135
60,50,73,73,337,52,129
60,50,74,73,342,56,135
60,48,73,72,339,59,142
60,49,72,76,334,63,146
60,49,72,81,335,67,175
60,49,72,86,339,69,181
60,50,70,84,336,68,195
60,48,70,85,345,71,210
59,48,70,82,356,71,223
58,50,70,79,361,73,235
58,50,70,76,367,73,251
58,47,70,72,379,73,261
58,47,70,71,389,70,285
57,45,71,68,395,72,323
57,45,70,68,400,75,342
55,45,70,71,408,78,344
51,45,69,69,415,77,408
51,45,67,70,437,76,453
49,45,65,70,462,77,547
49,45,64,76,470,84,641
48,45,65,76,492,87,715
48,46,65,73,515,88,755
47,46,65,72,543,86,808
47,45,65,70,571,88,894
47,46,66,69,599,88,955
47,45,64,73,615,87,1064
46,44,62,80,635,85,1125
45,46,62,78,652,83,1079
46,47,63,77,663,93,1081
46,47,63,77,685,96,1103
46,46,63,78,701,98,1050
47,47,62,80,701,101,1000
46,49,61,73,718,100,877
45,49,61,72,726,101,875
45,49,61,66,718,99,768
45,48,61,62,721,92,664
46,48,60,64,724,90,641
46,48,60,62,716,91,615
45,48,60,58,718,87,580
46,48,60,61,701,88,633
46,49,60,66,689,93,668
46,49,58,73,663,89,670
45,49,58,73,649,90,702
45,48,58,80,636,98,830
45,48,58,78,618,110,899
47,47,58,77,619,115,932
47,47,57,78,617,125,1072
46,48,58,76,626,126,1067
46,46,58,75,639,132,1157
48,46,58,72,648,128,1115
48,46,59,67,670,121,1049
46,46,59,59,689,111,905
46,46,58,59,708,106,808
45,46,59,52,694,87,521
44,46,61,47,689,76,348
44,46,61,45,695,62,218
43,46,61,43,696,53,165
41,45,61,44,623,47,135
39,45,61,38,555,39,64
39,46,60,39,528,30,35
38,47,59,41,445,32,27
37,47,56,41,368,31,20
36,46,54,36,286,24,9
36,46,51,36,248,19,11
36,46,49,34,212,24,20
37,44,47,32,180,25,48
37,44,42,33,141,26,62
37,45,40,31,125,25,61
35,45,37,30,93,24,54
35,47,36,33,89,20,53
35,47,34,34,77,20,49
35,47,33,29,74,19,33
35,46,32,24,66,12,15
35,46,31,22,59,14,13
35,46,30,22,56,15,13
35,46,30,20,52,11,9
35,46,29,20,47,11,9
35,46,29,25,44,12,9
35,46,29,23,40,13,6
36,46,27,26,33,12,6
36,47,27,27,33,13,7
36,46,27,30,35,13,6
36,46,27,28,38,16,12
37,46,27,31,38,18,13
37,46,25,30,31,18,14
36,45,27,29,30,22,13
35,46,25,31,25,25,17
35,46,26,33,23,26,17
35,46,26,32,22,26,19
36,46,29,33,28,27,21
34,46,30,32,25,29,22
36,45,29,31,22,28,24
35,45,29,28,17,31,22
36,44,29,29,18,35,26
36,43,29,34,18,35,25
37,43,29,35,18,35,25
38,43,29,30,21,35,24
38,43,29,33,26,39,32
38,43,29,34,26,39,29
37,45,29,38,26,37,28
36,44,29,40,30,37,30
34,44,29,44,29,33,29
35,44,28,44,30,30,30
35,46,28,48,32,35,37
36,47,28,50,37,37,50
36,47,28,51,37,38,56
36,47,27,49,36,37,51
35,48,26,43,38,37,47
35,48,26,40,38,37,46
35,48,27,43,38,40,47
35,47,27,40,40,42,49
36,48,27,44,41,43,50
36,48,27,41,43,44,51
36,48,27,45,42,44,53
36,48,27,46,42,42,53
36,46,28,48,42,38,57
34,45,28,44,40,37,50
35,45,28,43,44,33,57
36,45,28,42,45,36,60
36,43,28,42,48,35,61
36,43,28,45,49,36,65
35,43,28,45,51,35,61
35,44,27,43,49,36,56
33,45,24,42,40,35,51
34,45,23,44,40,32,49
34,44,22,51,35,26,35
36,43,24,45,41,28,37
35,43,24,43,37,25,24
35,43,24,39,34,26,20
37,45,24,40,34,31,23
38,46,26,46,41,37,43
38,46,24,45,41,31,36
39,46,23,43,36,27,26
39,46,23,41,42,28,27
39,46,24,40,39,31,19
38,46,25,37,40,36,27
38,43,25,33,41,32,25
38,41,26,35,43,28,26
38,41,27,37,43,31,29
38,41,26,36,40,28,30
40,42,26,39,40,26,29
41,42,25,41,43,26,33
41,43,25,43,43,24,27
42,42,26,45,42,25,25
42,42,28,46,45,23,25
42,43,28,46,50,27,32
43,42,30,52,65,28,45
43,41,33,55,76,31,61
44,41,35,56,88,37,79
44,39,39,54,102,33,81
43,39,41,56,109,34,81
43,40,42,55,117,38,90
43,40,44,60,127,42,114
42,40,45,64,138,44,135
42,41,46,62,132,45,123
42,42,46,58,134,47,124
43,42,46,55,138,43,123
42,42,47,55,141,44,127
43,42,47,55,135,49,131
42,42,48,54,130,54,129
43,42,48,54,124,54,116
43,43,49,57,121,55,124
43,42,50,55,119,58,120
43,42,50,53,114,64,124
42,40,48,50,117,62,117
41,40,48,50,114,59,101
41,41,49,52,114,60,101
41,40,49,51,112,57,95
40,41,48,53,114,55,86
40,41,47,52,116,59,96
40,42,47,53,115,60,101
40,40,46,54,118,60,115
40,42,46,56,114,58,120
40,42,43,59,111,58,127
39,41,44,55,110,61,135
39,41,45,55,113,57,139
40,41,45,54,108,60,127
40,40,44,55,110,58,129
39,41,43,52,113,58,126
39,42,41,55,114,57,130
39,42,40,55,116,55,135
38,43,41,54,117,59,135
40,43,41,55,116,55,120
39,42,41,55,114,55,127
38,42,41,46,115,53,107
37,41,41,49,109,51,111
38,41,40,54,112,48,117
37,41,39,54,109,48,126
37,41,39,59,103,45,115
36,41,38,62,104,47,124
37,41,37,63,105,40,114
37,41,37,63,106,39,102
37,43,37,65,104,37,93
38,43,37,73,107,33,94
38,43,37,70,111,33,87
38,45,37,70,105,32,80
40,45,37,70,108,34,84
41,45,37,70,114,32,74
41,44,38,71,119,34,69
41,45,39,72,120,36,73
41,45,38,65,126,31,67
41,46,38,65,124,29,66
41,46,37,65,123,28,57
42,46,38,61,126,26,50
42,46,40,59,128,26,48
42,46,40,52,129,23,50
42,46,39,46,127,22,45
41,46,38,40,129,22,56
41,45,38,41,128,25,61
41,46,37,44,128,26,62
41,46,37,42,123,29,61
43,46,38,47,117,26,49
43,45,40,47,120,29,65
43,46,40,50,114,33,72
44,48,39,50,114,37,80
44,47,38,51,106,36,89
45,47,37,51,110,35,91
45,46,37,48,108,36,86
45,46,36,44,104,31,77
45,46,36,38,97,30,49
45,44,36,35,91,29,32
45,44,36,34,89,31,31
46,44,35,36,88,29,35
44,43,34,36,84,29,46
44,44,35,41,82,33,62
44,44,35,42,89,33,69
43,45,36,46,93,33,73
43,45,36,45,104,31,76
43,45,36,50,108,33,107
43,45,36,53,108,33,104
43,45,40,53,136,42,138
43,45,39,55,132,40,122
42,45,40,56,124,52,155
40,45,42,57,127,63,219
41,47,41,59,129,66,233
43,46,42,55,125,61,204
42,45,44,47,120,64,219
44,46,44,51,134,73,228
42,45,44,49,99,74,169
41,46,43,45,94,69,138
42,46,43,46,90,65,109
41,46,45,43,94,58,98
40,46,42,40,67,51,65
39,46,41,38,64,44,60
38,46,41,34,65,39,55
38,46,40,28,65,38,41
38,43,40,29,65,34,38
37,43,42,33,80,34,35
36,43,40,37,73,31,30
37,43,39,33,72,30,24
37,43,40,32,71,30,22
37,41,38,30,65,29,20
38,41,37,34,66,28,22
38,41,37,36,61,28,25
38,41,35,36,49,30,30
38,41,33,31,47,31,26
38,40,34,32,44,33,24
36,40,34,31,42,32,25
37,42,34,33,46,32,27
37,41,35,36,43,36,29
37,41,35,38,44,35,30
37,42,35,39,44,34,31
37,42,35,38,40,28,22
37,42,35,36,38,28,15
36,42,36,36,35,27,15
35,42,35,36,35,24,14
35,42,34,36,31,21,10
35,42,35,34,31,19,9
35,42,36,34,37,18,7
36,43,37,32,35,15,4
36,43,36,29,32,13,4
36,42,36,29,37,14,5
37,42,36,29,39,16,4
37,41,37,32,39,16,6
37,41,38,34,38,15,6
37,41,38,35,38,15,5
37,41,38,35,39,17,13
37,43,38,32,39,16,11
37,42,38,33,35,17,10
37,42,38,33,37,19,15
37,41,37,33,35,17,13
37,41,37,33,34,17,16
37,40,37,27,31,19,20
38,41,37,26,32,19,18
38,40,37,27,32,21,22
37,40,37,26,35,19,21
37,39,37,31,39,20,23
36,38,37,31,34,20,21
37,38,37,30,34,19,23
37,38,37,26,35,21,30
35,39,37,27,37,24,32
35,40,38,27,37,25,32
35,42,38,27,42,28,34
33,42,38,24,43,26,25
33,42,38,21,43,30,24
34,44,38,21,44,34,23
34,45,38,21,48,35,23
33,46,38,22,48,37,18
34,46,37,25,43,34,23
34,46,37,31,37,34,22
36,48,37,32,36,36,23
33,49,35,28,37,35,20
33,49,35,32,36,37,26
33,50,35,33,35,38,28
35,50,35,34,36,33,25
34,52,35,36,35,36,24
33,53,35,39,30,37,23
34,53,35,36,29,37,19
35,53,33,34,28,35,17
36,54,32,32,33,33,19
38,54,33,34,35,35,24
40,54,33,36,41,36,22
43,54,34,39,42,35,19
44,55,34,38,48,34,20
44,55,34,37,45,31,20
45,55,35,38,44,31,21
46,55,36,41,43,33,24
45,53,37,42,44,37,26
47,53,37,46,54,40,35
48,53,39,47,55,39,39
50,53,36,49,54,35,38
50,55,37,49,50,39,38
50,56,41,59,54,43,43
50,55,43,64,53,41,44
50,55,47,60,56,43,38
50,55,50,64,58,48,42
51,56,55,59,60,55,34
51,56,56,64,61,59,39
51,56,57,59,59,63,37
51,56,59,58,62,71,47
52,56,60,67,70,73,62
51,56,62,73,77,77,84
51,56,62,78,80,74,84
50,56,63,75,86,74,83
50,57,65,75,90,74,87
51,58,65,78,98,83,98
51,60,66,77,102,85,107
50,60,66,74,111,85,107
50,61,65,78,110,85,103
49,62,65,80,113,88,90
50,61,65,78,117,88,96
48,61,64,77,118,85,104
48,60,64,73,131,85,102
49,59,65,70,133,89,104
49,58,65,69,136,81,105
49,58,65,68,142,77,100
49,58,65,63,147,77,95
48,58,65,60,146,75,86
50,59,65,62,138,76,83
50,58,66,60,131,72,75
51,57,67,56,131,70,57
51,57,68,59,125,67,52
51,58,69,56,122,68,55
51,58,69,53,114,72,57
51,58,70,55,106,79,65
51,58,69,58,111,68,58
