"('A',)","('B',)","('C',)","('D',)","('E',)","('F',)","('A', 'B')","('A', 'C')","('A', 'D')","('A', 'E')","('A', 'F')","('B', 'C')","('B', 'D')","('B', 'E')","('B', 'F')","('C', 'D')","('C', 'E')","('C', 'F')","('D', 'E')","('D', 'F')","('E', 'F')","('A', 'B', 'C')","('A', 'B', 'D')","('A', 'B', 'E')","('A', 'B', 'F')","('A', 'C', 'D')","('A', 'C', 'E')","('A', 'C', 'F')","('A', 'D', 'E')","('A', 'D', 'F')","('A', 'E', 'F')","('B', 'C', 'D')","('B', 'C', 'E')","('B', 'C', 'F')","('B', 'D', 'E')","('B', 'D', 'F')","('B', 'E', 'F')","('C', 'D', 'E')","('C', 'D', 'F')","('C', 'E', 'F')","('D', 'E', 'F')","('A', 'B', 'C', 'D')","('A', 'B', 'C', 'E')","('A', 'B', 'C', 'F')","('A', 'B', 'D', 'E')","('A', 'B', 'D', 'F')","('A', 'B', 'E', 'F')","('A', 'C', 'D', 'E')","('A', 'C', 'D', 'F')","('A', 'C', 'E', 'F')","('A', 'D', 'E', 'F')","('B', 'C', 'D', 'E')","('B', 'C', 'D', 'F')","('B', 'C', 'E', 'F')","('B', 'D', 'E', 'F')","('C', 'D', 'E', 'F')","('A', 'B', 'C', 'D', 'E')","('A', 'B', 'C', 'D', 'F')","('A', 'B', 'C', 'E', 'F')","('A', 'B', 'D', 'E', 'F')","('A', 'C', 'D', 'E', 'F')","('B', 'C', 'D', 'E', 'F')","('A', 'B', 'C', 'D', 'E', 'F')"
21,26,25,21,23,25,7,4,4,2,3,6,2,1,9,4,1,4,3,4,3,2,1,0,1,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,26,24,21,23,25,8,4,4,2,3,6,2,1,7,4,1,4,2,4,3,2,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,26,24,21,23,25,11,4,3,1,4,6,2,0,8,4,2,4,3,3,2,2,1,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,26,23,21,23,25,11,3,4,2,3,5,2,0,8,4,2,5,3,3,2,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,26,24,21,23,25,11,4,4,2,3,5,2,0,10,3,2,5,3,3,2,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,24,21,23,25,11,5,4,2,2,6,2,0,12,3,1,4,4,2,1,3,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,24,21,22,25,11,7,4,2,2,7,2,0,13,3,2,4,4,2,1,4,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,25,24,21,22,25,10,7,4,3,2,7,2,0,12,5,2,3,4,2,1,4,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,26,25,21,22,25,11,7,4,3,3,6,2,0,13,5,2,3,4,0,1,4,1,0,1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,25,25,21,23,25,12,6,4,3,3,5,2,1,13,5,2,3,4,0,2,2,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,25,25,21,23,25,11,6,3,4,3,5,2,1,14,6,2,2,4,0,3,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,25,25,20,23,25,13,5,3,4,3,5,3,1,13,5,3,2,4,1,3,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,25,25,20,23,25,14,5,3,4,3,4,3,1,12,5,4,2,5,1,3,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,25,25,20,23,25,12,3,4,3,4,3,2,2,11,5,4,4,5,1,3,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,24,25,21,23,25,11,3,4,3,4,3,2,2,10,5,5,3,6,1,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,24,25,21,23,25,11,3,4,3,3,3,2,2,9,6,5,3,5,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,23,25,21,23,24,10,3,3,3,3,5,3,2,6,5,6,3,3,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,23,25,21,24,24,8,3,3,3,2,6,3,4,6,6,6,3,3,2,3,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,22,25,21,24,24,7,4,3,3,2,5,4,5,6,7,7,3,4,3,3,1,0,1,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,23,25,21,23,24,7,6,3,4,1,6,4,5,7,6,7,3,4,3,3,2,0,1,0,0,1,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,23,25,21,23,24,7,6,2,4,1,6,4,5,8,6,7,3,3,4,4,2,0,1,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,23,25,21,23,24,6,9,3,4,1,6,4,5,10,5,6,5,3,4,3,2,1,1,0,1,2,0,0,0,0,2,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,23,25,21,23,24,7,11,3,4,1,6,4,5,10,4,6,5,4,5,1,5,1,2,0,1,2,0,0,0,0,1,3,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,23,25,21,23,24,9,11,3,4,2,6,4,5,9,4,5,5,3,6,2,5,2,2,0,1,2,0,0,1,0,2,2,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,25,21,23,24,8,11,3,5,2,7,4,5,8,4,5,5,7,6,2,6,2,2,0,1,2,0,1,1,0,2,2,1,1,1,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22,23,25,20,23,23,8,12,4,5,2,7,4,5,8,4,4,5,9,6,3,5,2,2,0,1,2,0,1,1,0,2,2,2,1,1,0,1,0,0,1,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22,23,26,20,23,22,8,11,5,4,3,7,5,3,9,4,4,6,9,6,3,5,3,1,1,1,1,1,2,1,0,2,1,3,2,1,0,1,0,0,1,2,1,1,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22,24,25,20,24,22,9,9,5,4,3,6,5,5,10,4,2,5,8,7,3,5,3,1,1,1,0,1,2,1,0,2,0,2,2,1,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,24,25,20,24,22,10,9,6,4,4,6,5,4,10,5,2,5,9,7,4,6,5,1,1,2,0,2,2,1,0,2,0,2,2,1,0,0,0,0,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,24,24,20,24,22,10,8,6,4,4,5,5,4,8,5,2,5,8,7,5,3,5,1,1,1,0,2,2,1,0,1,0,2,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,24,20,24,22,10,8,6,4,4,4,6,4,8,5,2,5,8,5,5,2,4,1,1,1,0,2,2,0,0,1,0,2,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,25,25,20,24,22,9,8,5,4,4,3,6,5,10,6,2,6,8,4,4,1,4,1,1,0,0,2,2,0,0,1,0,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,25,25,20,23,20,8,6,5,4,4,3,5,5,10,4,3,7,5,3,4,0,3,2,2,0,0,2,2,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,26,20,23,19,10,8,5,7,4,2,6,4,9,4,3,6,4,3,4,0,3,2,2,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,26,26,20,23,19,11,8,5,7,3,2,6,4,10,4,3,7,4,4,3,0,5,2,2,0,0,1,3,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,26,25,21,23,19,11,8,8,7,2,2,6,4,9,5,3,8,3,4,2,1,4,2,1,2,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,26,25,21,23,19,10,7,9,8,2,2,7,4,8,6,1,7,3,4,2,1,5,2,0,3,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,27,25,21,23,19,10,7,9,7,2,2,7,4,9,6,1,7,2,4,2,1,5,2,0,3,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,27,25,21,23,19,10,7,7,5,3,3,7,4,9,6,0,7,2,4,3,1,3,0,0,3,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,27,25,21,24,19,10,6,6,5,2,5,8,4,9,6,0,7,3,3,2,3,3,0,0,3,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,28,25,20,24,19,10,7,5,4,1,5,6,4,9,7,0,7,3,3,3,4,3,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,28,26,20,24,19,10,7,5,4,1,6,6,4,8,8,0,6,3,4,3,5,3,0,0,3,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,28,26,21,24,19,8,8,7,4,1,6,6,5,7,8,0,6,3,4,3,5,4,0,0,4,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,28,27,21,24,19,8,8,7,3,1,6,5,6,6,8,2,4,3,4,3,5,4,0,0,4,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,27,28,21,23,20,9,8,7,3,1,6,5,8,7,7,2,5,2,4,3,5,4,0,0,3,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,27,29,21,23,20,7,7,8,3,2,7,6,10,7,7,3,5,2,4,4,4,3,0,0,3,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,27,29,21,23,21,8,7,11,2,2,8,8,10,7,9,3,5,2,3,4,4,5,0,0,3,0,0,0,0,0,6,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,27,29,21,23,22,8,7,12,2,3,8,7,10,5,9,3,5,2,3,4,4,6,0,0,5,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,29,21,23,23,10,8,13,2,3,7,7,10,5,8,3,5,2,3,3,4,7,1,0,5,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,29,21,23,23,10,9,12,2,3,9,7,10,5,8,3,5,3,3,5,5,6,1,0,5,0,0,0,0,0,5,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,29,21,23,24,11,9,11,2,3,9,8,11,5,8,3,5,3,1,4,5,6,1,0,5,0,0,0,0,0,5,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26,30,20,23,24,12,9,11,3,6,10,7,10,4,7,3,7,3,1,4,5,6,2,0,4,0,0,1,0,0,4,0,0,1,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26,31,20,23,24,14,9,10,3,6,10,7,10,5,7,3,6,3,1,4,6,6,1,0,4,0,0,1,0,0,5,0,0,1,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26,31,20,23,24,14,9,10,1,6,10,8,9,5,7,4,6,3,1,4,6,5,1,1,3,0,0,2,0,0,6,0,0,1,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26,31,20,23,24,15,9,11,3,4,11,6,8,3,9,3,5,2,1,4,6,4,2,2,4,0,0,1,0,0,5,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26,30,19,24,24,16,8,10,3,2,11,6,8,3,8,3,6,2,2,5,5,4,1,2,3,0,0,1,0,0,5,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26,30,19,24,24,15,8,12,4,2,11,5,8,3,8,3,6,2,2,5,6,4,2,2,4,0,0,1,0,0,3,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,26,30,19,24,23,15,9,10,4,2,12,4,10,3,8,3,5,2,1,4,7,4,2,2,4,0,0,1,0,0,3,1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,25,30,19,24,23,14,12,10,5,2,10,5,9,4,8,3,6,1,1,6,7,5,2,2,4,2,0,1,0,0,3,1,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,25,30,20,24,23,14,14,10,7,4,12,6,9,5,8,4,6,1,1,6,9,5,3,2,4,2,0,1,0,1,3,1,0,0,0,3,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,25,30,20,25,23,14,15,9,7,4,12,7,8,5,8,5,7,1,1,5,9,5,3,2,4,1,2,1,0,1,3,1,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,25,30,20,25,23,13,19,9,8,4,11,7,8,6,8,5,7,1,1,7,9,5,3,2,5,2,2,1,0,1,3,1,0,0,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,24,28,20,28,22,12,19,10,9,4,8,7,7,6,8,6,7,2,1,8,8,6,3,1,5,2,2,1,0,1,2,1,0,0,0,1,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,24,28,20,28,22,12,20,8,8,4,7,7,5,6,7,6,7,2,1,9,8,4,3,1,5,2,2,1,0,1,2,1,0,0,0,1,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,24,28,20,28,22,11,20,7,7,5,9,7,5,4,6,5,7,2,1,8,7,4,3,1,3,1,2,1,0,1,2,2,0,0,0,1,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,24,29,20,28,22,10,19,8,7,5,11,7,5,5,8,6,7,1,3,7,7,4,2,1,6,1,2,0,2,1,4,2,1,0,0,1,0,2,2,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,24,29,20,28,22,9,19,8,7,4,11,6,5,5,7,7,7,1,3,8,6,3,2,1,5,1,0,0,1,1,4,3,2,0,0,1,0,2,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,24,29,19,28,22,8,19,6,5,5,11,6,6,6,5,8,7,1,4,8,6,2,2,1,4,0,0,0,2,1,3,3,2,0,0,1,0,2,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,24,29,19,29,22,8,19,6,7,5,12,5,7,8,6,8,6,1,4,6,6,2,2,1,4,0,0,0,2,0,3,3,2,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,23,29,19,29,23,9,18,6,7,5,11,6,7,8,6,7,5,1,4,7,6,2,2,1,4,1,0,0,2,0,3,3,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,23,29,19,29,23,10,17,7,8,5,10,6,6,7,5,7,5,2,4,8,3,2,2,1,3,2,0,0,2,0,4,2,2,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,23,28,19,30,22,10,14,7,7,4,10,6,5,6,4,7,4,2,4,7,3,2,2,1,3,2,0,0,1,0,4,2,1,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,23,28,19,30,22,10,17,7,7,4,9,9,5,6,4,7,4,3,4,7,3,2,2,0,3,3,0,0,1,0,4,2,1,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,23,29,19,30,22,12,17,7,6,3,9,9,4,5,4,7,4,3,4,5,5,3,2,0,3,1,0,0,1,0,4,2,1,1,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,23,29,19,31,22,12,17,7,4,4,9,8,3,5,4,8,2,3,3,9,5,4,1,0,5,1,1,0,0,2,4,2,1,1,0,0,1,0,1,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27,23,28,19,31,21,12,19,7,4,4,9,8,4,3,5,7,1,3,3,7,7,5,1,1,5,1,1,0,0,2,4,1,0,1,0,0,1,0,1,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27,23,28,20,31,21,13,20,6,4,4,10,9,4,3,7,6,1,3,3,7,8,5,1,1,5,1,1,0,0,2,6,1,0,1,0,0,1,0,1,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27,23,29,20,31,22,13,24,9,4,4,10,9,4,3,7,6,1,3,4,7,10,8,1,1,7,1,1,0,0,2,6,1,0,1,0,0,1,0,1,1,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27,23,28,20,32,24,13,24,10,4,4,10,9,4,3,12,6,3,4,4,10,10,8,1,1,13,2,2,0,0,2,9,1,0,1,0,0,2,0,1,1,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
27,23,28,20,31,24,14,24,11,5,4,11,9,5,3,16,4,4,4,4,9,11,10,1,1,18,1,2,1,0,1,10,1,0,1,0,0,2,0,1,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,23,28,20,31,24,13,26,12,6,4,12,8,6,3,16,4,5,3,4,8,10,9,3,1,24,2,2,0,0,1,11,1,0,0,0,0,1,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,24,27,20,31,23,14,27,15,6,4,13,8,6,4,16,5,5,4,4,8,17,9,3,1,30,2,2,0,0,1,14,1,0,0,0,0,2,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,24,27,20,31,23,15,27,15,5,4,13,8,6,4,16,5,6,4,3,10,19,9,3,1,30,2,2,0,0,1,14,1,0,0,0,0,2,0,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,24,27,19,30,22,16,26,14,4,3,14,7,5,4,15,7,6,3,2,11,19,7,2,1,29,2,2,0,0,0,11,1,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,25,27,19,30,22,14,24,15,4,3,13,7,5,4,14,7,6,3,2,11,19,8,1,0,23,2,1,0,0,0,10,1,0,0,0,0,0,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,25,27,19,30,22,14,25,16,4,3,11,5,6,2,14,8,6,3,2,11,14,8,0,0,24,2,0,1,0,0,7,1,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,25,27,20,30,23,13,25,17,5,2,11,5,9,1,15,8,6,3,4,10,10,7,0,0,24,1,0,2,0,0,6,1,0,0,0,1,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
